"","Full Citation","Source","Year","Author Last Name","Author First Name","Title","Type","`Full Citation` == `Full Citation`"
"473","Matalene, Carolyn. Introduction. Telling Stories Taking Risks. Ed. Alice M. Klement and Carolyn B. Matalene. Belmont, Calif.: Wadsworth, 1998. 1–3.","LJS Bibliography",1998,"Matalene","Carolyn","Introduction","Secondary Works",TRUE
"474","McCarthy, Mary. “Artists in Uniform.” Harper’s March 1953. Rpt. in Literary Journalism in the Twentieth Century. Ed. Norman Sims. Evanston, Ill.:Northwestern University Press, 2008. 231–46.","LJS Bibliography",2008,"McCarthy","Mary","Artists in Uniform","Secondary Works",TRUE
"475","McCarthy, Mary. “Settling the Colonel’s Hash.” Harper’s Magazine Feb. 1954. Rpt. in Literary Journalism in the Twentieth Century. Ed. Norman Sims. Evanston, Ill.:Northwestern University Press, 2008. 247–60.","LJS Bibliography",2008,"McCarthy","Mary","Settling the Colonel’s Hash","Secondary Works",TRUE
"476","McKeen, William. Outlaw Journalist: The Life and Times of Hunter S. Thompson. New York: W. W. Norton & Company, 2009.","LJS Bibliography",2009,"McKeen","William","Outlaw Journalist: The Life and Times of Hunter S","Secondary Works",TRUE
"477","Mills, Nicolaus. Introduction. The New Journalism: A Historical Anthology. New York: McGraw-Hill, 1974. xi–xx.","LJS Bibliography",1974,"Mills","Nicolaus","Introduction","Secondary Works",TRUE
"478","Moss, Marilyn Ann. “Theodore Dreiser.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 143–50.","LJS Bibliography",1992,"Moss","Marilyn","Theodore Dreiser","Secondary Works",TRUE
"479","Nelson, Jack A. “Mark Twain.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 39–42.","LJS Bibliography",1992,"Nelson","Jack","Mark Twain","Secondary Works",TRUE
"480","Nocera, Joseph. “How Hunter Thompson Killed New Journalism.” Washington Monthly, April 1981, 44-50. 20th century; Hunter Thompson; Gonzo journalism, New Journalism; Books, magazines..","LJS Bibliography",1981,"Nocera","Joseph","How Hunter Thompson Killed New Journalism","Secondary Works",TRUE
"481","Norman, Michael. “Writing Narrative Portraiture.” Literary Journalism Studies 1, no. 1 (Spring 2009): 50–56.","LJS Bibliography",2009,"Norman","Michael","Writing Narrative Portraiture","Secondary Works",TRUE
"482","North, Joseph. “Reportage.” American Writer’s Congress. Ed. Henry Hart. New York: International, 1935. 120–23.","LJS Bibliography",1935,"North","Joseph","Reportage","Secondary Works",TRUE
